"Timestamp","M1-B-S - What information do you find most useful when making governance decisions, and what information is currently missing or hard to find? Probe: How would having better information change how you vote as a DRep?","M1-C-S - What factors lead you to abstain rather than vote Yes or No on a governance action? Probe: What would help you vote Yes or No more often instead of abstaining?","M3-A-S - What factors do you think cause ada owners to change their DRep delegation? Have you had experience with an event that you believe has led to a change in your delegated voting power? Probe: How can DReps better maintain the trust and engagement of their delegators?","M4/M5-A-S - Voting power has become more concentrated among DReps since the role was established. What do you think most contributes to this change? Probe: What changes do you think would help distribute voting power more evenly across DReps?","M6-B-S - Describe your experience with publishing rationales for your votes, including any challenges you face. Probe: What would make it easier for you to publish rationales consistently?","M7-A-S - What do you think encourages or discourages people from becoming active DReps? Probe: What induces DReps to stop serving as a DRep?","What governance tools or resources do you currently use, and what is missing or inadequate for your needs? Probe: If you could have one tool or resource that doesn't exist today, what would it do?","What improvements would you most like to see in Cardano’s governance system?  Are there fundamental changes you believe are needed to how Cardano governance works?","Which of these roles best describes your involvement in the Cardano ecosystem? (Select all that apply)","How long have you been actively serving as a DRep?"
"46049.4876534722","Candidate 1:

""I believe that the quality of governance decisions ultimately depends on the clarity and structure of governance action templates, particularly the rationale section, which I rely on most when evaluating proposals and deciding how to vote. One recurring challenge I face is the difficulty in verifying who is actually behind a proposal. This lack of clear identity information affects trust and reduces my confidence when casting a vote. When proposals provide clearer, more complete information, it becomes much easier for me to properly assess their merit and make a decisive choice rather than abstaining. ""","Candidate 1:
""I tend to abstain from voting rather than choosing yes or no for two main reasons. The first is when there is simply not enough time to properly evaluate a governance action before it expires. The second is when a proposal is ambiguous and the proposers do not make an effort to clarify outstanding issues, even though platforms like X or community forums are available for that purpose. If I am to vote yes or no more consistently, I need clearer and more complete information from the outset, and where problems exist, I expect a genuine willingness from proposers to address and resolve them before resubmitting the proposal.""","Candidate 1:
""I have observed that inactivity and a lack of communication are among the main reasons delegators decide to change their delegation. Disagreements over specific governance decisions also play a role, and this became particularly visible during the recent budget vote, where shifts in delegation were noticeable. A major challenge is the communication gap between DReps and their delegators. When there is limited interaction, it becomes difficult to build or maintain trust, and even harder to understand why delegators choose to leave. I am supportive of using polling tools to engage delegators before casting votes, as they can help surface community sentiment early. However, awareness and actual usage of these tools within my community remain low.""","Candidate 1:
""I have noticed that voting power tends to be concentrated among a small number of DReps, largely due to historical relationships, especially long-standing ties with Japan. I believe a combination of better education and the introduction of saturation points could help create a more balanced distribution of voting power. Additionally, I am concerned about identity duplication, where a single individual can run multiple DRep accounts. This practice distorts representation and ultimately undermines trust in the governance process.""","Candidate 1:
""I make a deliberate effort to publish my voting rationales on forums and on X, especially when I vote no or choose to abstain, because I believe this level of transparency helps the broader community understand my decisions and ultimately improves the quality of proposals. However, this process is quite time-consuming, particularly because I use an infographic approach that involves creating a flyer for each vote. As the number of proposals increases, it becomes harder to sustain this method consistently, and during especially busy periods it is simply not scalable. I believe that having fewer governance actions arrive at the same time, with more reasonable gaps between them, would make it much easier to maintain consistent and thoughtful rationale sharing.""","Candidate 1:
""I believe that the lack of monetary rewards and formal recognition significantly discourages active participation from DReps, particularly in regions such as Africa. While I have tried to organize governance teams to help share the workload, this effort is often met with suspicion, as potential collaborators question the underlying motivations. I have also encountered situations where some delegators expect direct compensation in exchange for delegating their voting power, which further complicates meaningful engagement. To address these challenges, I think institutions such as the Cardano Foundation could play a stronger role by offering formal recognition and potentially providing temporary ADA delegation to active DReps in underserved regions as a way to encourage sustained participation and balance representation.""","Candidate 1:
""I primarily use the Tempo.vote tool for my governance activities and have found it far more user-friendly than earlier tools such as gov.tools. One improvement I strongly advocate for is the development of a proper treasury tracking tool to monitor the progress of funded projects. In my view, this level of accountability should have been a requirement from the very start of CIP-1694. Greater transparency would allow DReps to better track outcomes, hold teams accountable, and make more informed voting decisions. I also believe there is a clear need for a centralized communication platform that provides timely notifications for live governance actions and is accessible to all DReps, as this would significantly improve coordination and awareness across the ecosystem.""","Candidate 1:
""More broadly, I think governance would benefit from a stronger emphasis on regional balance in delegation allocations, as well as increased engagement events in Africa to encourage broader and more meaningful participation.""","Candidate 1:
Ada Holder, SPO (Stake Pool Operator), Proposal Submitter / Project Catalyst Veteran, Researcher / Academic","Candidate 1:
1 year or longer"
"46051.6457281481","Candidate 2:
When making governance decisions, I find recommendations from trusted individuals and groups—such as the Technical Steering Committee and experienced contributors in the Cardano ecosystem—most useful. These recommendations help me understand complex or highly technical governance actions.

Information that is currently missing or hard to find includes clear identification of who is recommending or endorsing a proposal, as this information is often scattered across different platforms like X. Additionally, contact information for governance action submitters is often not included, which makes it difficult to ask questions or request clarification directly.

Probe – How would having better information change how you vote as a DRep?
Having clearer proposer information and easier ways to contact submitters would improve my understanding of proposals and increase confidence when deciding whether to vote Yes or No.","Candidate 2:
I abstain when a proposal puts me in a situation where it is difficult to vote Yes, but also difficult to vote No. This usually happens when there are unresolved concerns that cannot be fully addressed with the available information.

For example, I abstained from a treasury-related proposal involving a wallet that is widely used in the ecosystem but is not open source. While the wallet is useful, the lack of open-source transparency created uncertainty.

Probe – What would help you vote Yes or No more often instead of abstaining?
More complete and transparent information could help in some cases, but for proposals with fundamental issues—such as a clear decision not to be open source—additional information would not necessarily change my vote.","Candidate 2:
The biggest factors are when a DRep becomes inactive, unresponsive, or unable to vote. Another major factor is loss of trust. Most ada holders are not deeply interested in governance and treat delegation as a “fire and forget” action.

I have experienced a situation where a delegator changed delegation because they felt my delegated voting power had already become too large.

Probe – How can DReps better maintain the trust and engagement of their delegators?
Maintaining engagement is difficult because most delegators are not interested in governance. I focus on posting my voting decisions and rationales publicly, even though I believe many delegators do not actively follow these updates","Candidate 2:
Wallet providers and their UI/UX play a key role in voting power concentration. Delegation choices are often influenced by wallet recommendations, community fame, or visibility rather than informed comparison of DReps.

Probe – What changes would help distribute voting power more evenly?
Improving DRep delegation UI and UX within wallets would allow users to choose DReps based on merit and activity, rather than popularity or default suggestions.","Candidate 2:
I publish my voting rationales using on-chain metadata and by posting on X in both Japanese and English. One challenge is receiving direct pushback from proposal submitters, especially after voting No, due to the size of my voting power.

Probe – What would make it easier to publish rationales consistently?
A mobile-friendly, in-wallet system that allows voting and rationale submission in one simple flow would make the process much easier.","Candidate 2:
The complexity of the voting process discourages participation. Writing and publishing rationales takes time and effort, which can make DReps inactive.

Probe – What induces DReps to stop serving as a DRep?
Lack of easy-to-use tools and the overall friction in the governance process can cause DReps to disengage or stop participating. Simplifying the process would help keep DReps active.","Candidate 2:
I currently use AdaStat and TempoVote. What is missing is an easy-to-use platform for submitting governance actions. The current process, especially when using the Cardano CLI, is difficult. I would also like the ability to submit governance action deposits from a hardware wallet, such as Ledger, and have the deposit returned to the same hardware wallet for security.","Candidate 2:
I am generally satisfied with Cardano’s governance design as defined by CIP-1694. Improvements should focus on better tooling and user experience rather than fundamental changes to the governance model.","Candidate 2:
DRep (Delegated Representative)","Candidate 2:
1 year or longer"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
